,0,0,1,2,3,4,0,0
435,2020-03-24,0.0,0.0,0.0,0.0,0.0,41.335,-16.152117
436,2020-03-25,0.0,0.0,0.0,0.0,0.0,36.283,-28.789522
437,2020-03-26,0.0,0.0,0.0,0.0,0.0,36.289,-30.436527
438,2020-03-27,0.0,0.0,0.0,0.0,10.732753623188406,31.242000000000004,-32.92982
439,2020-03-28,134.5742337944128,81.07183157894737,60.01296596434359,53.70268310369833,107.32753623188405,41.36,-18.54146
440,2020-03-29,0.0,0.0,0.0,0.0,0.0,51.48,-7.7161455
441,2020-03-30,0.0,2.0787649122807017,0.0,0.0,0.0,41.371,-21.537739
442,2020-03-31,0.0,0.0,0.0,0.0,0.0,36.285,-26.855604
443,2020-04-01,0.0,0.0,0.0,0.0,0.0,31.225999999999996,-29.506039
444,2020-04-02,16.06856522918362,39.496533333333325,16.803630470016206,134.2567077592458,16.09913043478261,35.065,-12.257794
445,2020-04-03,0.0,0.0,0.0,0.0,0.0,29.992000000000004,-10.35367
446,2020-04-04,0.0,0.0,0.0,0.0,0.0,40.137,-19.865795
447,2020-04-05,0.0,0.0,0.0,0.0,0.0,30.000999999999998,-25.14327
448,2020-04-06,0.0,0.0,0.0,0.0,0.0,24.902,-27.442125
449,2020-04-07,0.0,0.0,0.0,0.0,0.0,24.424,-31.975056
450,2020-04-08,50.2142663411988,0.0,0.0,0.0,0.0,24.623,-28.30872
451,2020-04-09,6.025711960943856,0.0,0.0,0.0,0.0,24.924,-32.82035
452,2020-04-10,0.0,0.0,0.0,0.0,0.0,19.873,-32.510925
453,2020-04-11,0.0,0.0,0.0,0.0,0.0,19.749,-33.13684
454,2020-04-12,0.0,0.0,0.0,0.0,0.0,19.532,-33.027153
455,2020-04-13,0.0,274.3969684210526,7.20155591572123,335.64176939811455,2.6831884057971016,30.15,23.24389
456,2020-04-14,0.0,5.196912280701754,0.0,0.0,0.0,35.121,37.98174
457,2020-04-15,0.0,0.0,0.0,0.0,0.0,40.106,-4.8072658
458,2020-04-16,0.0,0.0,0.0,0.0,0.0,40.13,-12.769166
459,2020-04-17,0.0,0.0,0.0,0.0,0.0,35.064,-19.295937
460,2020-04-18,40.17141307295904,25.984561403508767,223.24823338735817,241.66207396664245,80.49565217391304,40.124,7.552935
461,2020-04-19,212.90848928668294,6.236294736842105,0.0,13.425670775924582,0.0,40.145,27.705976
462,2020-04-20,363.5512883102794,264.0031438596491,91.21970826580227,174.53372008701956,268.3188405797101,40.134,36.295116
463,2020-04-21,38.16284241931109,14.55135438596491,4.801037277147488,10.740536620739666,13.415942028985507,50.289,52.959045
464,2020-04-22,0.0,0.0,0.0,0.0,0.0,55.38,7.714049
465,2020-04-23,0.0,0.0,0.0,0.0,0.0,40.163,-16.316212
466,2020-04-24,0.0,0.0,0.0,0.0,0.0,40.166,-29.219234
467,2020-04-25,0.0,0.0,0.0,0.0,0.0,40.172,-30.934546
468,2020-04-26,0.0,0.0,0.0,0.0,0.0,29.999,-36.793686
469,2020-04-27,6.025711960943856,37.41776842105263,0.0,0.0,0.0,29.989000000000004,-24.847307
470,2020-04-28,38.16284241931109,0.0,2.400518638573744,0.0,0.0,24.89,-15.938477
471,2020-04-29,0.0,0.0,0.0,0.0,0.0,24.91,-23.843433
472,2020-04-30,0.0,0.0,0.0,0.0,0.0,19.735,-21.150183
473,2020-05-01,0.0,0.0,0.0,0.0,0.0,24.754,-26.774164
474,2020-05-02,0.0,0.0,0.0,0.0,0.0,19.68,-29.069155
475,2020-05-03,0.0,0.0,0.0,0.0,0.0,24.766,-29.54698
476,2020-05-04,0.0,0.0,0.0,0.0,0.0,24.756,-32.385456
477,2020-05-05,0.0,0.0,0.0,0.0,0.0,24.831,-32.583755
478,2020-05-06,0.0,0.0,0.0,0.0,0.0,14.777,-32.39892
479,2020-05-07,0.0,0.0,0.0,0.0,0.0,19.861,-31.87596
480,2020-05-08,0.0,0.0,0.0,0.0,0.0,14.798,-32.38413
481,2020-05-09,64.27426091673448,19.748266666666662,141.6305996758509,134.2567077592458,45.61420289855072,19.874,-7.787433
482,2020-05-10,859.6682397613234,299.342147368421,873.7887844408427,1154.607686729514,1049.1266666666666,60.37299999999999,207.71951
483,2020-05-11,0.0,3.1181473684210523,0.0,96.66482958665699,0.0,111.296,279.18277
484,2020-05-12,0.0,0.0,0.0,0.0,0.0,86.049,130.98677
